TimePeriod,,GeoID,GeoRank,Geography,10th percentile ppb,90th percentile ppb,Mean,Indicator,IndicatorID
Summer 2020,,302,3,Central Harlem - Morningside Heights,13.8,15.2,14.6,NO2,375
Summer 2020,,303,3,East Harlem,13.1,14.9,14.2,NO2,375
Summer 2020,,304,3,Upper West Side,13.8,16.3,15.1,NO2,375
Summer 2020,,401,3,Long Island City - Astoria,12.4,16.9,14.2,NO2,375
Summer 2020,,402,3,West Queens,11.4,15.5,12.8,NO2,375
Summer 2020,,403,3,Flushing - Clearview,9.4,13.4,11,NO2,375
Summer 2020,,405,3,Ridgewood - Forest Hills,8.3,12.4,10.5,NO2,375
Summer 2020,,407,3,Southwest Queens,8.3,10.6,9.5,NO2,375
Summer 2020,,408,3,Jamaica,8.1,11,9.3,NO2,375
Summer 2020,,409,3,Southeast Queens,7.4,9.3,8.4,NO2,375
Summer 2020,,410,3,Rockaways,4.4,7.1,6,NO2,375
Summer 2020,,305307,3,Upper East Side-Gramercy,14.5,22,17.9,NO2,375
Summer 2020,,306308,3,Chelsea-Village  ,15.4,22.7,18.3,NO2,375
Summer 2020,,309310,3,Union Square-Lower Manhattan,12.2,17.7,15.1,NO2,375
Summer 2020,,404406,3,Bayside Little Neck-Fresh Meadows,7.3,10.3,9,NO2,375
Summer 2020,,501502,3,Northern SI,6.8,10.4,8.6,NO2,375
Summer 2020,,503504,3,Southern SI,5.6,9.4,7.5,NO2,375
Summer 2020,,105106107,3,South Bronx,12.8,16.2,14.5,NO2,375
Summer 2020,,1,1,Bronx,10.7,15.1,13.2,NO2,375
Summer 2020,,2,1,Brooklyn,8.1,13.6,10.8,NO2,375
Summer 2020,,3,1,Manhattan,13.2,19.9,16,NO2,375
Summer 2020,,4,1,Queens,7.2,13.2,10,NO2,375
Summer 2020,,5,1,Staten Island,5.8,9.8,7.8,NO2,375
Summer 2020,,1,0,New York City,7,14.7,10.6,NO2,375
Winter 2019,20,101,6,Financial District (CD1),30.5,33.6,32.2,NO2,375
Winter 2019,20,102,6,Greenwich Village and Soho (CD2),29.9,32.7,31.5,NO2,375
Winter 2019,20,103,6,Lower East Side and Chinatown (CD3),27.5,31.9,29.8,NO2,375
Winter 2019,20,104,6,Clinton and Chelsea (CD4),29.7,34.9,32.1,NO2,375
Winter 2019,20,105,6,Midtown (CD5),33.8,38.2,36.2,NO2,375
Winter 2019,20,106,6,Stuyvesant Town and Turtle Bay (CD6),28.9,35.7,32.6,NO2,375
Winter 2019,20,107,6,Upper West Side (CD7),26.4,29.9,28.1,NO2,375
Winter 2019,20,108,6,Upper East Side (CD8),26.8,32.3,29.9,NO2,375
Winter 2019,20,109,6,Morningside Heights and Hamilton Heights (CD9),25,27.1,26.2,NO2,375
Winter 2019,20,110,6,Central Harlem (CD10),25.5,27.8,26.7,NO2,375
Winter 2019,20,111,6,East Harlem (CD11),25.6,27.7,26.7,NO2,375
Winter 2019,20,112,6,Washington Heights and Inwood (CD12),21.1,27,24.3,NO2,375
Winter 2019,20,201,6,Mott Haven and Melrose (CD1),25.4,26.8,26.1,NO2,375
Winter 2019,20,202,6,Hunts Point and Longwood (CD2),23.6,26.8,25.3,NO2,375
Winter 2019,20,203,6,Morrisania and Crotona (CD3),23.2,25.9,24.7,NO2,375
Winter 2019,20,204,6,Highbridge and Concourse (CD4),25,26.4,25.8,NO2,375
Winter 2019,20,205,6,Fordham and University Heights (CD5),24.3,26.5,25.4,NO2,375
Winter 2019,20,206,6,Belmont and East Tremont (CD6),22.6,25.5,24.3,NO2,375
Winter 2019,20,207,6,Kingsbridge Heights and Bedford (CD7),22.2,24.9,23.7,NO2,375
Winter 2019,20,208,6,Riverdale and Fieldston (CD8),19.2,24,21.2,NO2,375
Winter 2019,20,209,6,Parkchester and Soundview (CD9),21,24.9,23.3,NO2,375
Winter 2019,20,210,6,Throgs Neck and Co-op City (CD10),19.1,23,21.2,NO2,375
Winter 2019,20,211,6,Morris Park and Bronxdale (CD11),21.7,23.5,22.5,NO2,375
Winter 2019,20,212,6,Williamsbridge and Baychester (CD12),19.5,22.7,21.6,NO2,375
Winter 2019,20,301,6,Greenpoint and Williamsburg (CD1),28.4,30.2,29.4,NO2,375
Winter 2019,20,302,6,Fort Greene and Brooklyn Heights (CD2),28,30.1,29,NO2,375
Winter 2019,20,303,6,Bedford Stuyvesant (CD3),27.3,28.9,28.1,NO2,375
Winter 2019,20,304,6,Bushwick (CD4),25.2,29.3,27.7,NO2,375
Winter 2019,20,305,6,East New York and Starrett City (CD5),22.8,26.7,25.1,NO2,375
Winter 2019,20,306,6,Park Slope and Carroll Gardens (CD6),26.7,29.5,28.4,NO2,375
Winter 2019,20,307,6,Sunset Park (CD7),23.5,29,26.6,NO2,375
Winter 2019,20,308,6,Crown Heights and Prospect Heights (CD8),27.2,28.8,28,NO2,375
Winter 2019,20,309,6,South Crown Heights and Lefferts Gardens (CD9),26.7,28,27.4,NO2,375
Winter 2019,20,310,6,Bay Ridge and Dyker Heights (CD10),21.4,26.2,24.4,NO2,375
Winter 2019,20,311,6,Bensonhurst (CD11),22.9,25.4,24.3,NO2,375
Winter 2019,20,312,6,Borough Park (CD12),24.6,27,25.9,NO2,375
Winter 2019,20,313,6,Coney Island (CD13),19,22.5,20.9,NO2,375
Winter 2019,20,314,6,Flatbush and Midwood (CD14),24.3,26.8,25.4,NO2,375
Winter 2019,20,315,6,Sheepshead Bay (CD15),20.1,24.1,22.5,NO2,375
Winter 2019,20,316,6,Brownsville (CD16),26.3,27.4,26.9,NO2,375
Winter 2019,20,317,6,East Flatbush (CD17),25.3,27.3,26.3,NO2,375
Winter 2019,20,318,6,Flatlands and Canarsie (CD18),18.3,25.6,22.8,NO2,375
Winter 2019,20,401,6,Long Island City and Astoria (CD1),23.3,28,26.1,NO2,375
Winter 2019,20,402,6,Woodside and Sunnyside (CD2),26.5,30,28.1,NO2,375
Winter 2019,20,403,6,Jackson Heights (CD3),24.5,26.9,25.7,NO2,375
Winter 2019,20,404,6,Elmhurst and Corona (CD4),25.7,27.4,26.7,NO2,375
Winter 2019,20,405,6,Ridgewood and Maspeth (CD5),23.1,28.8,26.1,NO2,375
Winter 2019,20,406,6,Rego Park and Forest Hills (CD6),23,26.6,24.9,NO2,375
Winter 2019,20,407,6,Flushing and Whitestone (CD7),20.8,25.7,23,NO2,375
Winter 2019,20,408,6,Hillcrest and Fresh Meadows (CD8),19.6,23.9,22.2,NO2,375
Winter 2019,20,409,6,Kew Gardens and Woodhaven (CD9),23.4,25.6,24.7,NO2,375
Winter 2019,20,410,6,South Ozone Park and Howard Beach (CD10),21.8,24.7,23.4,NO2,375
Winter 2019,20,411,6,Bayside and Little Neck (CD11),17.9,22.4,20.3,NO2,375
Winter 2019,20,412,6,Jamaica and Hollis (CD12),21,24.3,22.3,NO2,375
Winter 2019,20,413,6,Queens Village (CD13),18.9,21.5,20.2,NO2,375
Winter 2019,20,414,6,Rockaway and Broad Channel (CD14),15.4,19,17.5,NO2,375
Winter 2019,20,501,6,St. George and Stapleton (CD1),20,23,21.7,NO2,375
Winter 2019,20,502,6,South Beach and Willowbrook (CD2),15.6,20.8,18.2,NO2,375
Winter 2019,20,503,6,Tottenville and Great Kills (CD3),12.4,17.6,15.1,NO2,375
Winter 2019,20,101,4,Kingsbridge - Riverdale,19.1,24.3,21.3,NO2,375
Winter 2019,20,102,4,Northeast Bronx,20.9,22.8,21.9,NO2,375
Winter 2019,20,103,4,Fordham - Bronx Pk,19.4,24.9,22.6,NO2,375
Winter 2019,20,104,4,Pelham - Throgs Neck,19.7,24.3,22.2,NO2,375
Winter 2019,20,105,4,Crotona -Tremont,23.3,26.1,24.8,NO2,375
Winter 2019,20,106,4,High Bridge - Morrisania,24.9,26.5,25.8,NO2,375
Winter 2019,20,107,4,Hunts Point - Mott Haven,23.1,26.8,25.3,NO2,375
Winter 2019,20,201,4,Greenpoint,28.2,30,29.3,NO2,375
Winter 2019,20,202,4,Downtown - Heights - Slope,27,29.8,28.6,NO2,375
Winter 2019,20,203,4,Bedford Stuyvesant - Crown Heights,26.8,28.6,27.6,NO2,375
Winter 2019,20,204,4,East New York,23.6,26.8,25.5,NO2,375
Winter 2019,20,205,4,Sunset Park,23.1,28.8,26.4,NO2,375
Winter 2019,20,206,4,Borough Park,24.6,26.8,25.6,NO2,375
Winter 2019,20,207,4,East Flatbush - Flatbush,24.6,27.6,26.1,NO2,375
Winter 2019,20,208,4,Canarsie - Flatlands,18.4,25.9,22.9,NO2,375
Winter 2019,20,209,4,Bensonhurst - Bay Ridge,21.1,25.7,23.8,NO2,375
Winter 2019,20,210,4,Coney Island - Sheepshead Bay,19.6,24.1,22.1,NO2,375
Winter 2019,20,211,4,Williamsburg - Bushwick,27.6,30.1,28.7,NO2,375
Winter 2019,20,301,4,Washington Heights,21.4,26.7,24.6,NO2,375
Winter 2019,20,302,4,Central Harlem - Morningside Heights,25.4,27.6,26.6,NO2,375
Winter 2019,20,303,4,East Harlem,25.5,27.8,26.8,NO2,375
Winter 2019,20,304,4,Upper West Side,26.4,29.9,28.1,NO2,375
Winter 2019,20,305,4,Upper East Side,26.8,32.1,29.8,NO2,375
Winter 2019,20,306,4,Chelsea - Clinton,30.1,37.4,33.6,NO2,375
Winter 2019,20,307,4,Gramercy Park - Murray Hill,31,37.3,34.2,NO2,375
Winter 2019,20,308,4,Greenwich Village - SoHo,29.9,33,31.6,NO2,375
Winter 2019,20,309,4,Union Square - Lower East Side,27.6,32.5,30.1,NO2,375
Winter 2019,20,310,4,Lower Manhattan,30.4,33.7,32.1,NO2,375
Winter 2019,20,401,4,Long Island City - Astoria,25.6,29.8,27.6,NO2,375
Winter 2019,20,402,4,West Queens,25,28.6,26.7,NO2,375
Winter 2019,20,403,4,Flushing - Clearview,20.9,25.5,22.9,NO2,375
Winter 2019,20,404,4,Bayside - Little Neck,17.8,22.1,19.9,NO2,375
Winter 2019,20,405,4,Ridgewood - Forest Hills,22.9,27.9,25.3,NO2,375
Winter 2019,20,406,4,Fresh Meadows,20.7,23.8,22.5,NO2,375
Winter 2019,20,407,4,Southwest Queens,22.7,25.4,23.9,NO2,375
Winter 2019,20,408,4,Jamaica,20.7,24.2,22.3,NO2,375
Winter 2019,20,409,4,Southeast Queens,18.9,21.3,20.1,NO2,375
Winter 2019,20,410,4,Rockaways,15.7,19,17.6,NO2,375
Winter 2019,20,501,4,Port Richmond,20,22.9,21.9,NO2,375
Winter 2019,20,502,4,Stapleton - St. George,17.8,22.7,20.5,NO2,375
Winter 2019,20,503,4,Willowbrook,15.5,21.5,18.5,NO2,375
Winter 2019,20,504,4,South Beach - Tottenville,12.6,18.1,15.4,NO2,375
Winter 2019,20,101,3,Kingsbridge - Riverdale,19.1,24.3,21.3,NO2,375
Winter 2019,20,102,3,Northeast Bronx,20.9,22.8,21.9,NO2,375
Winter 2019,20,103,3,Fordham - Bronx Pk,19.4,24.9,22.6,NO2,375
Winter 2019,20,104,3,Pelham - Throgs Neck,19.7,24.3,22.2,NO2,375
Winter 2019,20,201,3,Greenpoint,28.2,30,29.3,NO2,375
Winter 2019,20,202,3,Downtown - Heights - Slope,27,29.8,28.6,NO2,375
Winter 2019,20,203,3,Bedford Stuyvesant - Crown Heights,26.8,28.6,27.6,NO2,375
Winter 2019,20,204,3,East New York,23.6,26.8,25.5,NO2,375
Winter 2019,20,205,3,Sunset Park,23.1,28.8,26.4,NO2,375
Winter 2019,20,206,3,Borough Park,24.6,26.8,25.6,NO2,375
Winter 2019,20,207,3,East Flatbush - Flatbush,24.6,27.6,26.1,NO2,375
Winter 2019,20,208,3,Canarsie - Flatlands,18.4,25.9,22.9,NO2,375
Winter 2019,20,209,3,Bensonhurst - Bay Ridge,21.1,25.7,23.8,NO2,375
Winter 2019,20,210,3,Coney Island - Sheepshead Bay,19.6,24.1,22.1,NO2,375
Winter 2019,20,211,3,Williamsburg - Bushwick,27.6,30.1,28.7,NO2,375
Winter 2019,20,301,3,Washington Heights,21.4,26.7,24.6,NO2,375
Winter 2019,20,302,3,Central Harlem - Morningside Heights,25.4,27.6,26.6,NO2,375
Winter 2019,20,303,3,East Harlem,25.5,27.8,26.8,NO2,375
Winter 2019,20,304,3,Upper West Side,26.4,29.9,28.1,NO2,375
Winter 2019,20,401,3,Long Island City - Astoria,25.6,29.8,27.6,NO2,375
Winter 2019,20,402,3,West Queens,25,28.6,26.7,NO2,375
Winter 2019,20,403,3,Flushing - Clearview,20.9,25.5,22.9,NO2,375
Winter 2019,20,405,3,Ridgewood - Forest Hills,22.9,27.9,25.3,NO2,375
Winter 2019,20,407,3,Southwest Queens,22.7,25.4,23.9,NO2,375
Winter 2019,20,408,3,Jamaica,20.7,24.2,22.3,NO2,375
Winter 2019,20,409,3,Southeast Queens,18.9,21.3,20.1,NO2,375
Winter 2019,20,410,3,Rockaways,15.7,19,17.6,NO2,375
Winter 2019,20,305307,3,Upper East Side-Gramercy,27.9,36.2,31.8,NO2,375
Winter 2019,20,306308,3,Chelsea-Village  ,30,36.8,32.9,NO2,375
Winter 2019,20,309310,3,Union Square-Lower Manhattan,27.9,33.1,30.7,NO2,375
Winter 2019,20,404406,3,Bayside Little Neck-Fresh Meadows,18.2,23.4,21,NO2,375
Winter 2019,20,501502,3,Northern SI,18.4,22.9,21,NO2,375
Winter 2019,20,503504,3,Southern SI,13.2,20.2,16.5,NO2,375
Winter 2019,20,105106107,3,South Bronx,23.4,26.6,25.3,NO2,375
Winter 2019,20,1,1,Bronx,20.1,26,23,NO2,375
Winter 2019,20,2,1,Brooklyn,21.7,29.1,25.6,NO2,375
Winter 2019,20,3,1,Manhattan,25,34.2,29.3,NO2,375
Winter 2019,20,4,1,Queens,18.8,27.1,22.9,NO2,375
Winter 2019,20,5,1,Staten Island,13.7,22.1,17.9,NO2,375
Winter 2019,20,1,0,New York City,17.1,28.2,23,NO2,375
Annual Average 2019,,101,6,Financial District (CD1),22.6,25.8,24.3,NO2,375
Annual Average 2019,,102,6,Greenwich Village and Soho (CD2),21.8,24.6,23.4,NO2,375
Annual Average 2019,,103,6,Lower East Side and Chinatown (CD3),18.7,23.7,21.2,NO2,375
Annual Average 2019,,104,6,Clinton and Chelsea (CD4),21.9,27.5,24.6,NO2,375
Annual Average 2019,,105,6,Midtown (CD5),26,30.7,28.5,NO2,375
Annual Average 2019,,106,6,Stuyvesant Town and Turtle Bay (CD6),20.7,27.8,24.5,NO2,375
Annual Average 2019,,107,6,Upper West Side (CD7),19.3,22.2,20.8,NO2,375
Annual Average 2019,,108,6,Upper East Side (CD8),19,24.7,22.2,NO2,375
Annual Average 2019,,109,6,Morningside Heights and Hamilton Heights (CD9),18.1,20.3,19.2,NO2,375
Annual Average 2019,,110,6,Central Harlem (CD10),18.5,20.8,19.8,NO2,375
Annual Average 2019,,111,6,East Harlem (CD11),18,20.3,19.4,NO2,375
Annual Average 2019,,112,6,Washington Heights and Inwood (CD12),13.8,19.4,16.9,NO2,375
Annual Average 2019,,201,6,Mott Haven and Melrose (CD1),18.6,21.1,19.7,NO2,375
Annual Average 2019,,202,6,Hunts Point and Longwood (CD2),16,21.4,19,NO2,375
Annual Average 2019,,203,6,Morrisania and Crotona (CD3),16.4,18.8,17.8,NO2,375
Annual Average 2019,,204,6,Highbridge and Concourse (CD4),17.8,19.5,18.7,NO2,375
Annual Average 2019,,205,6,Fordham and University Heights (CD5),16.8,19.4,18.2,NO2,375
Annual Average 2019,,206,6,Belmont and East Tremont (CD6),15.3,18.3,17.1,NO2,375
Annual Average 2019,,207,6,Kingsbridge Heights and Bedford (CD7),14.8,17.6,16.2,NO2,375
Annual Average 2019,,208,6,Riverdale and Fieldston (CD8),11.3,16.5,13.5,NO2,375
Annual Average 2019,,209,6,Parkchester and Soundview (CD9),13.8,18.1,16.4,NO2,375
Annual Average 2019,,210,6,Throgs Neck and Co-op City (CD10),12.5,16.4,14.6,NO2,375
Annual Average 2019,,211,6,Morris Park and Bronxdale (CD11),14.6,16.7,15.5,NO2,375
Annual Average 2019,,212,6,Williamsbridge and Baychester (CD12),11.9,15.4,14.2,NO2,375
Annual Average 2019,,301,6,Greenpoint and Williamsburg (CD1),19.8,23.5,21.5,NO2,375
Annual Average 2019,,302,6,Fort Greene and Brooklyn Heights (CD2),18.9,21.3,19.9,NO2,375
Annual Average 2019,,303,6,Bedford Stuyvesant (CD3),17.1,19.6,18.4,NO2,375
Annual Average 2019,,304,6,Bushwick (CD4),15.3,20.8,18.2,NO2,375
Annual Average 2019,,305,6,East New York and Starrett City (CD5),12.8,17.1,15.4,NO2,375
Annual Average 2019,,306,6,Park Slope and Carroll Gardens (CD6),18.3,21.5,20.1,NO2,375
Annual Average 2019,,307,6,Sunset Park (CD7),14.7,21.6,18.5,NO2,375
Annual Average 2019,,308,6,Crown Heights and Prospect Heights (CD8),17,19.4,18.2,NO2,375
Annual Average 2019,,309,6,South Crown Heights and Lefferts Gardens (CD9),16.5,18.1,17.4,NO2,375
Annual Average 2019,,310,6,Bay Ridge and Dyker Heights (CD10),13.5,18.1,16.4,NO2,375
Annual Average 2019,,311,6,Bensonhurst (CD11),14.8,16.8,15.9,NO2,375
Annual Average 2019,,312,6,Borough Park (CD12),15.4,18.2,17,NO2,375
Annual Average 2019,,313,6,Coney Island (CD13),11.2,14.2,12.9,NO2,375
Annual Average 2019,,314,6,Flatbush and Midwood (CD14),14.8,17.1,15.8,NO2,375
Annual Average 2019,,315,6,Sheepshead Bay (CD15),11.2,15,13.6,NO2,375
Annual Average 2019,,316,6,Brownsville (CD16),16.4,17.7,17,NO2,375
Annual Average 2019,,317,6,East Flatbush (CD17),15.3,17.4,16.4,NO2,375
Annual Average 2019,,318,6,Flatlands and Canarsie (CD18),8.9,16.1,13.1,NO2,375
Annual Average 2019,,401,6,Long Island City and Astoria (CD1),15.5,20.3,18.4,NO2,375
Annual Average 2019,,402,6,Woodside and Sunnyside (CD2),18,23.7,20.7,NO2,375
Annual Average 2019,,403,6,Jackson Heights (CD3),16.5,18.6,17.6,NO2,375
Annual Average 2019,,404,6,Elmhurst and Corona (CD4),17.5,18.9,18.2,NO2,375
Annual Average 2019,,405,6,Ridgewood and Maspeth (CD5),13.4,21.3,17.1,NO2,375
Annual Average 2019,,406,6,Rego Park and Forest Hills (CD6),14.5,18.2,16.4,NO2,375
Annual Average 2019,,407,6,Flushing and Whitestone (CD7),14.1,19.1,16.3,NO2,375
Annual Average 2019,,408,6,Hillcrest and Fresh Meadows (CD8),13.3,16.3,15.1,NO2,375
Annual Average 2019,,409,6,Kew Gardens and Woodhaven (CD9),14.8,16.9,16.1,NO2,375
Annual Average 2019,,410,6,South Ozone Park and Howard Beach (CD10),12.6,16,14.5,NO2,375
Annual Average 2019,,411,6,Bayside and Little Neck (CD11),12.4,16,14.5,NO2,375
Annual Average 2019,,412,6,Jamaica and Hollis (CD12),14.6,17.7,15.7,NO2,375
Annual Average 2019,,413,6,Queens Village (CD13),13.3,15.7,14.6,NO2,375
Annual Average 2019,,414,6,Rockaway and Broad Channel (CD14),7.9,11.7,9.9,NO2,375
Annual Average 2019,,501,6,St. George and Stapleton (CD1),13.2,16.6,15,NO2,375
Annual Average 2019,,502,6,South Beach and Willowbrook (CD2),9.7,13.8,11.7,NO2,375
Annual Average 2019,,503,6,Tottenville and Great Kills (CD3),8,12.1,10.2,NO2,375
Annual Average 2019,,101,4,Kingsbridge - Riverdale,11.2,16.7,13.5,NO2,375
Annual Average 2019,,102,4,Northeast Bronx,13.7,15.5,14.7,NO2,375
Annual Average 2019,,103,4,Fordham - Bronx Pk,11.8,17.6,15.2,NO2,375
Annual Average 2019,,104,4,Pelham - Throgs Neck,13.1,17.5,15.5,NO2,375
Annual Average 2019,,105,4,Crotona -Tremont,16.2,18.9,17.6,NO2,375
Annual Average 2019,,106,4,High Bridge - Morrisania,17.8,19.6,18.8,NO2,375
Annual Average 2019,,107,4,Hunts Point - Mott Haven,15.4,21.2,18.8,NO2,375
Annual Average 2019,,201,4,Greenpoint,19.6,23.2,21.4,NO2,375
Annual Average 2019,,202,4,Downtown - Heights - Slope,18.3,21.4,20,NO2,375
Annual Average 2019,,203,4,Bedford Stuyvesant - Crown Heights,16.7,19.1,17.7,NO2,375
Annual Average 2019,,204,4,East New York,13.7,17.2,15.8,NO2,375
Annual Average 2019,,205,4,Sunset Park,14.6,21.5,18.5,NO2,375
Annual Average 2019,,206,4,Borough Park,15.3,18.1,16.7,NO2,375
Annual Average 2019,,207,4,East Flatbush - Flatbush,14.9,17.7,16.3,NO2,375
Annual Average 2019,,208,4,Canarsie - Flatlands,9,16.4,13.1,NO2,375
Annual Average 2019,,209,4,Bensonhurst - Bay Ridge,13.2,17.7,15.7,NO2,375
Annual Average 2019,,210,4,Coney Island - Sheepshead Bay,11.4,15.2,13.5,NO2,375
Annual Average 2019,,211,4,Williamsburg - Bushwick,17.6,22.9,19.7,NO2,375
Annual Average 2019,,301,4,Washington Heights,14.2,19.5,17.3,NO2,375
Annual Average 2019,,302,4,Central Harlem - Morningside Heights,18.5,20.7,19.7,NO2,375
Annual Average 2019,,303,4,East Harlem,17.9,20.4,19.4,NO2,375
Annual Average 2019,,304,4,Upper West Side,19.2,22.2,20.8,NO2,375
Annual Average 2019,,305,4,Upper East Side,19,24.4,22.1,NO2,375
Annual Average 2019,,306,4,Chelsea - Clinton,22.4,29.9,26,NO2,375
Annual Average 2019,,307,4,Gramercy Park - Murray Hill,22.7,29.6,26.2,NO2,375
Annual Average 2019,,308,4,Greenwich Village - SoHo,21.8,24.9,23.6,NO2,375
Annual Average 2019,,309,4,Union Square - Lower East Side,18.8,24.2,21.6,NO2,375
Annual Average 2019,,310,4,Lower Manhattan,22.4,25.8,24.2,NO2,375
Annual Average 2019,,401,4,Long Island City - Astoria,18,23.4,20.2,NO2,375
Annual Average 2019,,402,4,West Queens,16.9,21.5,18.7,NO2,375
Annual Average 2019,,403,4,Flushing - Clearview,14.3,18.9,16.3,NO2,375
Annual Average 2019,,404,4,Bayside - Little Neck,12.3,15.9,14.2,NO2,375
Annual Average 2019,,405,4,Ridgewood - Forest Hills,13.6,18.6,16.2,NO2,375
Annual Average 2019,,406,4,Fresh Meadows,14.1,16.2,15.4,NO2,375
Annual Average 2019,,407,4,Southwest Queens,13.6,16.6,15.1,NO2,375
Annual Average 2019,,408,4,Jamaica,14.1,17.5,15.5,NO2,375
Annual Average 2019,,409,4,Southeast Queens,13.3,15.7,14.5,NO2,375
Annual Average 2019,,410,4,Rockaways,8.1,11.8,10,NO2,375
Annual Average 2019,,501,4,Port Richmond,14.1,16.8,15.7,NO2,375
Annual Average 2019,,502,4,Stapleton - St. George,10.5,15.9,13.3,NO2,375
Annual Average 2019,,503,4,Willowbrook,9.9,14.4,12.2,NO2,375
Annual Average 2019,,504,4,South Beach - Tottenville,8.1,12.1,10.2,NO2,375
Annual Average 2019,,101,3,Kingsbridge - Riverdale,11.2,16.7,13.5,NO2,375
Annual Average 2019,,102,3,Northeast Bronx,13.7,15.5,14.7,NO2,375
Annual Average 2019,,103,3,Fordham - Bronx Pk,11.8,17.6,15.2,NO2,375
Annual Average 2019,,104,3,Pelham - Throgs Neck,13.1,17.5,15.5,NO2,375
Annual Average 2019,,201,3,Greenpoint,19.6,23.2,21.4,NO2,375
Annual Average 2019,,202,3,Downtown - Heights - Slope,18.3,21.4,20,NO2,375
Annual Average 2019,,203,3,Bedford Stuyvesant - Crown Heights,16.7,19.1,17.7,NO2,375
Annual Average 2019,,204,3,East New York,13.7,17.2,15.8,NO2,375
Annual Average 2019,,205,3,Sunset Park,14.6,21.5,18.5,NO2,375
Annual Average 2019,,206,3,Borough Park,15.3,18.1,16.7,NO2,375
Annual Average 2019,,207,3,East Flatbush - Flatbush,14.9,17.7,16.3,NO2,375
Annual Average 2019,,208,3,Canarsie - Flatlands,9,16.4,13.1,NO2,375
Annual Average 2019,,209,3,Bensonhurst - Bay Ridge,13.2,17.7,15.7,NO2,375
Annual Average 2019,,210,3,Coney Island - Sheepshead Bay,11.4,15.2,13.5,NO2,375
Annual Average 2019,,211,3,Williamsburg - Bushwick,17.6,22.9,19.7,NO2,375
Annual Average 2019,,301,3,Washington Heights,14.2,19.5,17.3,NO2,375
Annual Average 2019,,302,3,Central Harlem - Morningside Heights,18.5,20.7,19.7,NO2,375
Annual Average 2019,,303,3,East Harlem,17.9,20.4,19.4,NO2,375
Annual Average 2019,,304,3,Upper West Side,19.2,22.2,20.8,NO2,375
Annual Average 2019,,401,3,Long Island City - Astoria,18,23.4,20.2,NO2,375
Annual Average 2019,,402,3,West Queens,16.9,21.5,18.7,NO2,375
Annual Average 2019,,403,3,Flushing - Clearview,14.3,18.9,16.3,NO2,375
Annual Average 2019,,405,3,Ridgewood - Forest Hills,13.6,18.6,16.2,NO2,375
Annual Average 2019,,407,3,Southwest Queens,13.6,16.6,15.1,NO2,375
Annual Average 2019,,408,3,Jamaica,14.1,17.5,15.5,NO2,375
Annual Average 2019,,409,3,Southeast Queens,13.3,15.7,14.5,NO2,375
Annual Average 2019,,410,3,Rockaways,8.1,11.8,10,NO2,375
Annual Average 2019,,305307,3,Upper East Side-Gramercy,20.3,28.4,24,NO2,375
Annual Average 2019,,306308,3,Chelsea-Village  ,22.2,29.3,25.2,NO2,375
Annual Average 2019,,309310,3,Union Square-Lower Manhattan,19.2,25.1,22.4,NO2,375
Annual Average 2019,,404406,3,Bayside Little Neck-Fresh Meadows,12.6,16.1,14.6,NO2,375
Annual Average 2019,,501502,3,Northern SI,10.9,16.5,14.2,NO2,375
Annual Average 2019,,503504,3,Southern SI,8.6,13.7,11,NO2,375
Annual Average 2019,,105106107,3,South Bronx,16.2,20.3,18.4,NO2,375
Annual Average 2019,,1,1,Bronx,12.9,19.2,16,NO2,375
Annual Average 2019,,2,1,Brooklyn,12.7,20.6,16.5,NO2,375
Annual Average 2019,,3,1,Manhattan,17.7,26.6,21.7,NO2,375
Annual Average 2019,,4,1,Queens,12.4,19,15.7,NO2,375
Annual Average 2019,,5,1,Staten Island,9,15.6,11.9,NO2,375
Annual Average 2019,,1,0,New York City,10.6,20.2,15.6,NO2,375
Summer 2019,,101,6,Financial District (CD1),21.6,24.6,23.3,NO2,375
Summer 2019,,102,6,Greenwich Village and Soho (CD2),21.1,23.5,22.5,NO2,375
Summer 2019,,103,6,Lower East Side and Chinatown (CD3),17.2,22.6,19.9,NO2,375
Summer 2019,,104,6,Clinton and Chelsea (CD4),21,26.3,23.5,NO2,375
Summer 2019,,105,6,Midtown (CD5),24.7,29.2,27.1,NO2,375
Summer 2019,,106,6,Stuyvesant Town and Turtle Bay (CD6),19.4,26.3,23.1,NO2,375
Summer 2019,,107,6,Upper West Side (CD7),17.2,20.7,18.9,NO2,375
Summer 2019,,108,6,Upper East Side (CD8),17.1,22.9,20.1,NO2,375
Summer 2019,,109,6,Morningside Heights and Hamilton Heights (CD9),15.1,17.7,16.3,NO2,375
Summer 2019,,110,6,Central Harlem (CD10),15.3,18,16.8,NO2,375
Summer 2019,,111,6,East Harlem (CD11),15.4,17.7,16.7,NO2,375
Summer 2019,,112,6,Washington Heights and Inwood (CD12),10.4,16.4,13.6,NO2,375
Summer 2019,,201,6,Mott Haven and Melrose (CD1),15.3,17.9,16.5,NO2,375
Summer 2019,,202,6,Hunts Point and Longwood (CD2),12.8,18.1,15.8,NO2,375
Summer 2019,,203,6,Morrisania and Crotona (CD3),13.1,15.4,14.4,NO2,375
Summer 2019,,204,6,Highbridge and Concourse (CD4),14.4,16.1,15.4,NO2,375
Summer 2019,,205,6,Fordham and University Heights (CD5),13.5,16,14.9,NO2,375
Summer 2019,,206,6,Belmont and East Tremont (CD6),12.1,15.1,13.9,NO2,375
