TimePeriod,,GeoID,GeoRank,Geography,10th percentile ppb,90th percentile ppb,Mean,Indicator,IndicatorID
Annual Average 2022,,503,6,Tottenville and Great Kills (CD3),7.5,10.7,9.3,NO2,375
Annual Average 2022,,101,4,Kingsbridge - Riverdale,13.3,16.4,14.5,NO2,375
Annual Average 2022,,102,4,Northeast Bronx,14.6,16.6,15.4,NO2,375
Annual Average 2022,,103,4,Fordham - Bronx Pk,14.3,16.3,15.3,NO2,375
Annual Average 2022,,104,4,Pelham - Throgs Neck,14.1,17.5,15.8,NO2,375
Annual Average 2022,,105,4,Crotona -Tremont,15.9,18.7,17.2,NO2,375
Annual Average 2022,,106,4,High Bridge - Morrisania,16.2,19,17.2,NO2,375
Annual Average 2022,,107,4,Hunts Point - Mott Haven,13.5,19.6,17.4,NO2,375
Annual Average 2022,,201,4,Greenpoint,17.1,19.7,18.4,NO2,375
Annual Average 2022,,202,4,Downtown - Heights - Slope,15.9,20.1,18,NO2,375
Annual Average 2022,,203,4,Bedford Stuyvesant - Crown Heights,15.3,17.2,16.2,NO2,375
Annual Average 2022,,204,4,East New York,14,17.3,15.6,NO2,375
Annual Average 2022,,205,4,Sunset Park,14.2,20.9,17.3,NO2,375
Annual Average 2022,,206,4,Borough Park,14.2,15.9,15,NO2,375
Annual Average 2022,,207,4,East Flatbush - Flatbush,14.1,15.9,15,NO2,375
Annual Average 2022,,208,4,Canarsie - Flatlands,11.3,15.7,13.4,NO2,375
Annual Average 2022,,209,4,Bensonhurst - Bay Ridge,13.1,16.4,14.4,NO2,375
Annual Average 2022,,210,4,Coney Island - Sheepshead Bay,11.9,14,13.1,NO2,375
Annual Average 2022,,211,4,Williamsburg - Bushwick,15.6,19.7,17.4,NO2,375
Annual Average 2022,,301,4,Washington Heights,14.6,21.3,16.9,NO2,375
Annual Average 2022,,302,4,Central Harlem - Morningside Heights,16.4,17.5,16.9,NO2,375
Annual Average 2022,,303,4,East Harlem,15.9,17.3,16.7,NO2,375
Annual Average 2022,,304,4,Upper West Side,17,19.6,18.2,NO2,375
Annual Average 2022,,305,4,Upper East Side,16.5,20.9,18.8,NO2,375
Annual Average 2022,,306,4,Chelsea - Clinton,19.2,27,22.9,NO2,375
Annual Average 2022,,307,4,Gramercy Park - Murray Hill,19.3,26.8,22.9,NO2,375
Annual Average 2022,,308,4,Greenwich Village - SoHo,19.2,21.8,20.5,NO2,375
Annual Average 2022,,309,4,Union Square - Lower East Side,15.9,20.4,18,NO2,375
Annual Average 2022,,310,4,Lower Manhattan,19.2,22.5,20.8,NO2,375
Annual Average 2022,,401,4,Long Island City - Astoria,15.6,19.5,17.4,NO2,375
Annual Average 2022,,402,4,West Queens,15.2,19.7,16.9,NO2,375
Annual Average 2022,,403,4,Flushing - Clearview,14.1,16.5,15.2,NO2,375
Annual Average 2022,,404,4,Bayside - Little Neck,13.4,16.5,14.8,NO2,375
Annual Average 2022,,405,4,Ridgewood - Forest Hills,13.6,16.9,15.2,NO2,375
Annual Average 2022,,406,4,Fresh Meadows,14,15.9,14.8,NO2,375
Annual Average 2022,,407,4,Southwest Queens,12.9,15.7,14.3,NO2,375
